year,facility,month,traffic
2011,George Washington Bridge,Jan,"3,370,936"
2011,George Washington Bridge,Feb,"3,272,225"
2011,George Washington Bridge,Mar,"3,843,661"
2011,George Washington Bridge,Apr,"3,895,462"
2011,George Washington Bridge,May,"4,109,595"
2011,George Washington Bridge,Jun,"4,087,871"
2011,George Washington Bridge,Jul,"4,286,338"
2011,George Washington Bridge,Aug,"4,029,977"
2011,George Washington Bridge,Sep,"3,831,941"
2011,George Washington Bridge,Oct,"3,794,633"
2011,George Washington Bridge,Nov,"3,755,512"
2011,George Washington Bridge,Dec,"3,838,062"
2011,Lincoln Tunnel,Jan,"1,244,648"
2011,Lincoln Tunnel,Feb,"1,222,260"
2011,Lincoln Tunnel,Mar,"1,435,307"
2011,Lincoln Tunnel,Apr,"1,436,851"
2011,Lincoln Tunnel,May,"1,469,370"
2011,Lincoln Tunnel,Jun,"1,450,951"
2011,Lincoln Tunnel,Jul,"1,446,782"
2011,Lincoln Tunnel,Aug,"1,386,454"
2011,Lincoln Tunnel,Sep,"1,368,670"
2011,Lincoln Tunnel,Oct,"1,414,449"
2011,Lincoln Tunnel,Nov,"1,360,566"
2011,Lincoln Tunnel,Dec,"1,407,683"
2011,Holland Tunnel,Jan,"1,192,262"
2011,Holland Tunnel,Feb,"1,183,356"
2011,Holland Tunnel,Mar,"1,383,611"
2011,Holland Tunnel,Apr,"1,354,127"
2011,Holland Tunnel,May,"1,404,464"
2011,Holland Tunnel,Jun,"1,392,537"
2011,Holland Tunnel,Jul,"1,415,311"
2011,Holland Tunnel,Aug,"1,333,653"
2011,Holland Tunnel,Sep,"1,292,859"
2011,Holland Tunnel,Oct,"1,337,877"
2011,Holland Tunnel,Nov,"1,308,279"
2011,Holland Tunnel,Dec,"1,369,636"
2011,Goethals Bridge,Jan,"908,233"
2011,Goethals Bridge,Feb,"896,210"
2011,Goethals Bridge,Mar,"1,044,992"
2011,Goethals Bridge,Apr,"1,053,866"
2011,Goethals Bridge,May,"1,128,772"
2011,Goethals Bridge,Jun,"1,121,666"
2011,Goethals Bridge,Jul,"1,206,196"
2011,Goethals Bridge,Aug,"1,125,589"
2011,Goethals Bridge,Sep,"1,076,713"
2011,Goethals Bridge,Oct,"1,067,176"
2011,Goethals Bridge,Nov,"1,053,908"
2011,Goethals Bridge,Dec,"1,083,376"
2011,Outerbridge Crossing,Jan,"989,714"
2011,Outerbridge Crossing,Feb,"979,631"
2011,Outerbridge Crossing,Mar,"1,134,072"
2011,Outerbridge Crossing,Apr,"1,141,720"
2011,Outerbridge Crossing,May,"1,216,294"
2011,Outerbridge Crossing,Jun,"1,233,632"
2011,Outerbridge Crossing,Jul,"1,284,348"
2011,Outerbridge Crossing,Aug,"1,201,291"
2011,Outerbridge Crossing,Sep,"1,147,633"
2011,Outerbridge Crossing,Oct,"1,142,344"
2011,Outerbridge Crossing,Nov,"1,101,917"
2011,Outerbridge Crossing,Dec,"1,155,746"
2011,Bayonne Bridge,Jan,"237,522"
2011,Bayonne Bridge,Feb,"232,496"
2011,Bayonne Bridge,Mar,"273,643"
2011,Bayonne Bridge,Apr,"272,343"
2011,Bayonne Bridge,May,"285,160"
2011,Bayonne Bridge,Jun,"284,862"
2011,Bayonne Bridge,Jul,"278,601"
2011,Bayonne Bridge,Aug,"270,606"
2011,Bayonne Bridge,Sep,"267,838"
2011,Bayonne Bridge,Oct,"266,971"
2011,Bayonne Bridge,Nov,"264,128"
2011,Bayonne Bridge,Dec,"271,087"
2012,Bayonne Bridge,Jan,"8,213,612"
2012,Bayonne Bridge,Feb,"8,035,177"
2012,Bayonne Bridge,Mar,"8,922,026"
2012,Bayonne Bridge,Apr,"8,926,153"
2012,Bayonne Bridge,May,"9,309,400"
2012,Bayonne Bridge,Jun,"9,279,150"
2012,Bayonne Bridge,Jul,"9,320,529"
2012,Bayonne Bridge,Aug,"9,545,488"
2012,Bayonne Bridge,Sep,"8,803,800"
2012,Bayonne Bridge,Oct,"8,448,028"
2012,Bayonne Bridge,Nov,"8,148,620"
2012,Bayonne Bridge,Dec,"8,943,461"
